id,player,height,weight,college,age,two_points,two_point_percentage,fta,ast,pts,mayor500
2009,Donald Whiteside,193,86,Princeton University,26,602,46%,311,424,1465,1
2010,Jerome Williams,193,86,Princeton University,27,543,46%,334,330,1363,1
2011,Lorenzen Wright,190,90,University of Illinois at Urbana-Champaign,22,30,37%,34,12,84,0
2012,Tariq Abdul-Wahad,190,90,University of Illinois at Urbana-Champaign,23,5,36%,11,6,19,0
2013,Derek Anderson,190,90,University of Illinois at Urbana-Champaign,24,125,42%,47,71,288,0
2014,Drew Barry,208,102,Brigham Young University,22,15,43%,8,2,34,0
2015,Tony Battie,208,102,Brigham Young University,25,11,41%,13,0,30,0
2016,Chauncey Billups,208,102,Brigham Young University,26,22,47%,5,7,45,0
2017,Etdrick Bohannon,198,102,United States Military Academy,26,36,46%,39,23,91,0
2018,Keith Booth,206,106,Eastern Kentucky University,25,42,36%,56,9,106,0
2019,Rick Brunson,206,106,Eastern Kentucky University,26,28,42%,31,8,62,0
2020,Kelvin Cato,196,81,University of Texas-Pan American,22,110,39%,125,51,298,0
2021,Keith Closs,196,81,University of Texas-Pan American,23,36,31%,32,18,87,0
2022,James Collins,196,81,University of Texas-Pan American,23,6,22%,13,7,16,0
2023,James Cotton,196,81,University of Texas-Pan American,23,30,33%,19,11,71,0
2024,Chris Crawford,198,92,Marquette University,22,23,27%,20,17,55,0
2025,Austin Croshere,203,98,University of Michigan,22,168,38%,112,73,409,0
2026,William Cunningham,203,98,University of Michigan,23,500,50%,238,117,1172,1
2027,Antonio Daniels,203,98,University of Michigan,24,655,48%,335,178,1560,1
2028,Tim Duncan,203,98,University of Michigan,25,788,54%,454,250,1961,1
2029,Tony Farmer,203,98,University of Michigan,26,694,53%,366,236,1677,1
2030,Danny Fortson,203,98,University of Michigan,27,622,52%,288,188,1465,1
2031,Adonal Foyle,203,98,University of Michigan,28,733,51%,342,172,1753,1
2032,Lawrence Funderburke,203,98,University of Michigan,29,217,49%,81,32,495,0
2033,Chris Garner,203,98,University of Michigan,30,620,52%,221,137,1408,1
2034,Kiwane Garris,203,98,University of Michigan,31,348,50%,147,109,880,1
2035,Ed Gray,203,98,University of Michigan,32,251,49%,82,81,603,1
2036,Derek Grimm,206,99,Jackson State University,22,156,42%,143,53,391,0
2037,Jerald Honeycutt,206,99,Jackson State University,23,162,44%,78,54,382,0
2038,Troy Hudson,206,99,Jackson State University,24,174,41%,90,72,407,0
2039,Bobby Jackson,206,99,Jackson State University,24,8,47%,2,6,17,0
2040,Anthony Johnson,206,99,Jackson State University,24,166,41%,88,66,390,0
2041,Brevin Knight,206,99,Jackson State University,25,174,50%,114,71,433,0
2042,Rusty LaRue,206,99,Jackson State University,25,2,15%,4,4,8,0
2043,Jason Lawson,206,99,Jackson State University,25,172,51%,110,67,425,0
2044,Ron Mercer,206,99,Jackson State University,26,248,46%,155,127,602,1
2045,Jeff Nordgaard,206,99,Jackson State University,27,251,48%,128,106,591,1
2046,Charles O'Bannon,206,99,Jackson State University,28,25,47%,6,11,54,0
2047,Kevin Ollie,188,82,Lincoln University of Missouri,25,1,100%,3,2,4,0
2048,Anthony Parker,188,82,Lincoln University of Missouri,26,23,43%,29,20,67,0
2049,Scot Pollard,188,82,Lincoln University of Missouri,28,62,42%,63,103,165,0
2050,Mark Pope,190,82,University of Iowa,23,59,33%,29,60,140,0
2051,Rodrick Rhodes,190,82,University of Iowa,24,471,46%,148,438,1063,1
2052,Shea Seals,190,82,University of Iowa,25,578,47%,226,414,1351,1
2053,God Shammgod,190,82,University of Iowa,26,737,48%,272,284,1700,1
2054,Kebu Stewart,190,82,University of Iowa,27,742,49%,314,207,1757,1
2055,Michael Stewart,190,82,University of Iowa,28,534,48%,190,176,1236,1
2056,Ed Stokes,190,82,University of Iowa,29,508,49%,196,240,1192,1
2057,Johnny Taylor,190,82,University of Iowa,30,446,47%,206,260,1075,1
2058,Maurice Taylor,190,82,University of Iowa,31,365,48%,135,174,960,1
2059,John Thomas,190,82,University of Iowa,32,482,50%,208,233,1206,1
2060,Tim Thomas,190,82,University of Iowa,33,368,47%,129,238,922,1
2061,Jacque Vaughn,190,82,University of Iowa,34,357,52%,72,242,814,1
2062,Eric Washington,190,82,University of Iowa,35,249,53%,86,194,602,1
2063,Bubba Wells,193,90,University of Notre Dame,23,381,43%,196,148,911,1
2064,DeJuan Wheat,193,90,University of Notre Dame,24,702,45%,342,279,1685,1
2065,Brandon Williams,193,90,University of Notre Dame,25,748,45%,326,305,1775,1
2066,Travis Williams,193,90,University of Notre Dame,26,252,47%,106,154,593,1
2067,Toby Bailey,193,90,University of Notre Dame,27,276,44%,134,122,658,1
2068,Corey Benjamin,193,90,University of Notre Dame,28,558,46%,268,220,1329,1
2069,Mike Bibby,193,90,University of Notre Dame,29,414,44%,225,225,1011,1
2070,Earl Boykins,193,90,University of Notre Dame,30,551,48%,358,217,1394,1
2071,Cory Carr,193,90,University of Notre Dame,31,388,47%,172,150,909,1
2072,Vince Carter,193,90,University of Notre Dame,32,87,38%,54,58,208,0
2073,Keon Clark,193,90,University of Notre Dame,32,7,25%,4,9,16,0
2074,Ricky Davis,193,90,University of Notre Dame,32,80,40%,50,49,192,0
2075,Michael Dickerson,190,81,University of California,21,407,42%,247,205,996,1
2076,Michael Doleac,190,81,University of California,22,602,45%,244,301,1398,1
2077,Bryce Drew,190,81,University of California,23,697,43%,334,239,1668,1
2078,Marlon Garnett,190,81,University of California,24,690,45%,365,248,1681,1
2079,Pat Garrity,190,81,University of California,25,654,48%,341,255,1590,1
2080,Paul Grant,190,81,University of California,26,654,44%,321,294,1578,1
2081,Matt Harpring,190,81,University of California,27,200,44%,138,73,509,1
2082,Larry Hughes,190,81,University of California,28,69,44%,28,31,156,0
2083,Randell Jackson,190,81,University of California,29,131,39%,67,89,326,0
2084,Sam Jacobson,190,81,University of California,29,81,39%,41,42,202,0
2085,Jerome James,190,81,University of California,29,50,39%,26,47,124,0
2086,Antawn Jamison,190,81,University of California,30,10,33%,6,7,29,0
2087,Damon Jones,190,83,Ohio State University,22,35,35%,36,35,98,0
2088,Gerard King,190,83,Ohio State University,23,192,45%,101,205,459,0
2089,Raef LaFrentz,190,83,Ohio State University,24,236,43%,133,227,565,1
2090,Rashard Lewis,190,83,Ohio State University,25,369,48%,181,381,882,1
2091,Felipe Lopez,190,83,Ohio State University,26,413,47%,218,428,1000,1
2092,Tyronn Lue,190,83,Ohio State University,27,257,43%,148,308,626,1
2093,Sean Marks,190,83,Ohio State University,28,215,48%,103,283,511,1
2094,Jelani McCoy,190,83,Ohio State University,29,311,47%,171,376,752,1
2095,Roshown McLeod,190,83,Ohio State University,30,207,49%,113,288,519,1
2096,Brad Miller,190,83,Ohio State University,30,27,44%,15,40,75,0
2097,Cuttino Mobley,190,83,Ohio State University,30,180,50%,98,248,444,0
2098,Nazr Mohammed,188,72,Wake Forest University,22,229,40%,169,123,600,1
2099,Mikki Moore,188,72,Wake Forest University,23,263,42%,168,185,656,1
2100,Makhtar N'Diaye,188,72,Wake Forest University,23,20,49%,7,10,44,0
2101,Tyrone Nesby,188,72,Wake Forest University,23,243,41%,161,175,612,1
2102,Michael Olowokandi,188,72,Wake Forest University,24,14,35%,4,11,31,0
2103,Andrae Patterson,201,86,La Salle University,23,31,39%,28,14,83,0
2104,Ruben Patterson,201,86,La Salle University,24,8,38%,8,3,22,0
2105,Paul Pierce,201,86,La Salle University,25,86,49%,69,19,214,0
2106,Jeffrey Sheppard,201,86,La Salle University,26,67,40%,52,18,165,0
2107,Alvin Sims,201,86,La Salle University,26,32,41%,20,8,75,0
2108,Brian Skinner,201,86,La Salle University,26,35,40%,32,10,90,0
2109,Ryan Stack,196,95,University of Texas at El Paso,23,90,34%,66,51,235,0
2110,Robert Traylor,196,95,University of Texas at El Paso,24,80,36%,63,62,207,0
2111,Bonzi Wells,196,95,University of Texas at El Paso,24,80,36%,63,61,207,0
2112,Jahidi White,196,95,University of Texas at El Paso,25,302,43%,201,79,766,1
2113,Jason Williams,196,95,University of Texas at El Paso,26,74,39%,64,19,196,0
2114,Shammond Williams,196,95,University of Texas at El Paso,27,129,43%,93,49,335,0
2115,Rafer Alston,203,95,Western Kentucky University,24,25,46%,32,4,65,0
2116,Chucky Atkins,185,81,University of Southern California,23,304,42%,165,247,730,1
2117,William Avery,185,81,University of Southern California,24,187,43%,119,139,464,0
2118,Calvin Booth,185,81,University of Southern California,25,55,49%,26,51,124,0
2119,Cal Bowdler,185,81,University of Southern California,28,134,48%,73,154,326,0
2120,Ryan Bowen,185,81,University of Southern California,29,85,51%,13,108,182,0
2121,Ira Bowman,206,97,University of Oregon,22,242,45%,140,52,587,1
2122,Elton Brand,206,97,University of Oregon,23,190,44%,100,46,459,0
2123,Greg Buckner,206,97,University of Oregon,24,119,43%,64,48,287,0
2124,Rodney Buford,206,97,University of Oregon,25,85,44%,66,26,217,0
2125,Anthony Carter,211,103,Western Kentucky University,23,51,42%,18,9,113,0
2126,John Celestand,211,103,Western Kentucky University,24,154,40%,100,78,378,0
2127,Vonteego Cummings,211,103,Western Kentucky University,25,63,36%,43,24,149,0
2128,Baron Davis,211,103,Western Kentucky University,27,41,40%,9,15,91,0
2129,Derrick Dial,211,103,Western Kentucky University,29,100,43%,42,44,236,0
2130,Obinna Ekezie,201,102,Eastern Michigan University,23,57,34%,44,18,135,0
2131,Evan Eschmeyer,201,102,Eastern Michigan University,24,115,34%,67,54,270,0
2132,Jeff Foster,201,102,Eastern Michigan University,24,8,62%,2,1,16,0
2133,Steve Francis,201,102,Eastern Michigan University,24,107,33%,65,53,254,0
2134,Devean George,201,102,Eastern Michigan University,25,223,39%,107,94,511,1
2135,Dion Glover,201,102,Eastern Michigan University,26,6,21%,9,7,18,0
2136,Adrian Griffin,203,97,University of Colorado,24,315,41%,197,119,763,1
2137,Richard Hamilton,203,97,University of Colorado,25,268,41%,137,91,628,1
2138,Chris Herren,203,97,University of Colorado,26,330,43%,140,124,750,1
2139,Rick Hughes,203,97,University of Colorado,27,156,45%,94,45,380,0
2140,Jermaine Jackson,203,97,University of Colorado,28,52,39%,48,19,137,0
2141,Tim James,203,97,University of Colorado,28,32,40%,16,10,73,0
2142,Harold Jamison,203,97,University of Colorado,28,20,39%,32,9,64,0
2143,Jumaine Jones,183,79,Marquette University,23,139,47%,140,103,357,0
2144,Lari Ketner,183,79,Marquette University,24,188,52%,129,133,457,0
2145,Trajan Langdon,183,79,Marquette University,25,274,51%,160,162,651,1
2146,Quincy Lewis,183,79,Marquette University,26,233,47%,263,397,634,1
2147,Todd MacCulloch,183,79,Marquette University,27,155,41%,152,222,410,0
2148,Corey Maggette,183,79,Marquette University,28,15,42%,23,29,43,0
2149,Shawn Marion,188,88,Auburn University,22,287,47%,252,146,782,1
2150,Andre Miller,188,88,Auburn University,23,320,49%,160,153,767,1
2151,Lamar Odom,188,88,Auburn University,23,26,38%,19,25,63,0
2152,Scott Padgett,188,88,Auburn University,23,294,50%,141,128,704,1
2153,Milt Palacio,188,88,Auburn University,24,249,45%,229,148,680,1
2154,James Posey,188,88,Auburn University,25,336,48%,248,201,883,1
2155,Laron Profit,188,88,Auburn University,26,264,49%,237,108,720,1
2156,Aleksandar Radojevic,188,88,Auburn University,27,209,46%,113,114,507,1
2157,Ryan Robertson,188,88,Auburn University,28,325,48%,238,232,834,1
2158,Eddie Robinson,188,88,Auburn University,29,338,49%,182,187,826,1
2159,Michael Ruffin,188,88,Auburn University,30,90,56%,49,38,219,0
2160,Wally Szczerbiak,193,90,University of Utah,23,256,41%,144,135,620,1
2161,Jason Terry,193,90,University of Utah,24,534,44%,369,409,1395,1
2162,Jamel Thomas,193,90,University of Utah,25,510,45%,444,363,1400,1
2163,Kenny Thomas,193,90,University of Utah,26,436,48%,305,403,1137,1
2164,Wayne Turner,193,90,University of Utah,27,569,51%,445,457,1523,1
2165,Dedric Willoughby,193,90,University of Utah,28,387,46%,304,320,1043,1
2166,Tim Young,193,90,University of Utah,29,216,44%,174,203,584,1
2167,Courtney Alexander,193,90,University of Utah,30,283,49%,243,291,778,1
2168,Erick Barkley,193,90,University of Utah,31,566,48%,415,314,1634,1
2169,Raja Bell,193,90,University of Utah,32,622,50%,466,299,1688,1
2170,Mark Blount,193,90,University of Utah,33,279,47%,147,170,705,1
2171,Brian Cardinal,201,99,Alcorn State University,24,222,51%,215,43,584,1
2172,Mateen Cleaves,201,99,Alcorn State University,25,249,49%,225,56,652,1
2173,Jason Collier,201,99,Alcorn State University,26,247,51%,143,58,589,1
2174,Sean Colson,201,99,Alcorn State University,27,64,52%,42,16,159,0
2175,Jamal Crawford,201,99,Alcorn State University,28,146,49%,203,59,444,0
2176,Keyon Dooling,201,99,Alcorn State University,29,216,47%,206,99,583,1
2177,Khalid El-Amin,201,99,Alcorn State University,30,74,41%,75,33,198,0
2178,Marcus Fizer,201,99,Alcorn State University,30,34,42%,29,14,88,0
2179,Ruben Garces,201,99,Alcorn State University,30,40,40%,46,19,110,0
2180,Eddie Gill,206,102,"University of California, Los Angeles",23,94,36%,46,54,211,0
2181,Steve Goodrich,206,102,"University of California, Los Angeles",24,71,36%,65,51,176,0
2182,Zendon Hamilton,206,102,"University of California, Los Angeles",25,262,44%,112,165,593,1
2183,Jason Hart,206,102,"University of California, Los Angeles",26,161,42%,73,93,370,0
2184,Donnell Harvey,206,102,"University of California, Los Angeles",27,84,38%,54,80,202,0
2185,Eddie House,206,102,"University of California, Los Angeles",27,15,40%,10,9,38,0
2186,Marc Jackson,206,102,"University of California, Los Angeles",27,69,38%,44,71,164,0
2187,Stephen Jackson,203,99,Villanova University,23,171,42%,77,24,401,0
2188,DerMarr Johnson,203,99,Villanova University,24,98,45%,29,16,218,0
2189,Garth Joseph,203,99,Villanova University,25,296,45%,115,32,684,1
2190,Dan Langhi,203,99,Villanova University,26,201,49%,79,19,468,0
2191,Art Long,203,99,Villanova University,26,13,36%,9,2,33,0
2192,Mark Madsen,203,99,Villanova University,26,188,50%,70,17,435,0
2193,Jamaal Magloire,203,99,Villanova University,27,298,47%,97,25,669,1
2194,Kenyon Martin,203,99,Villanova University,28,465,48%,120,53,1033,1
2195,Desmond Mason,203,99,Villanova University,29,309,49%,155,42,742,1
2196,Dan McClintock,203,99,Villanova University,29,16,37%,7,2,36,0
2197,Paul McPherson,203,99,Villanova University,29,293,50%,148,40,706,1
2198,Chris Mihm,206,104,University of Oklahoma,23,222,50%,218,254,578,1
2199,Mike Miller,206,104,University of Oklahoma,24,254,49%,189,271,625,1
2200,Jerome Moiso,206,104,University of Oklahoma,25,313,51%,199,246,747,1
2201,Hanno Mottola,206,104,University of Oklahoma,26,299,52%,284,178,769,1
2202,Mamadou N'Diaye,206,104,University of Oklahoma,27,212,53%,230,149,564,1
2203,Lee Nailon,206,104,University of Oklahoma,28,263,58%,199,112,631,1
2204,Eduardo Najera,206,104,University of Oklahoma,29,272,57%,243,147,692,1
2205,Ira Newble,206,104,University of Oklahoma,30,231,53%,190,136,568,1
2206,Mike Penberthy,206,104,University of Oklahoma,31,203,53%,149,183,490,0
2207,Morris Peterson,206,104,University of Oklahoma,32,64,42%,62,52,157,0
2208,Chris Porter,193,88,University of California,23,19,43%,26,7,57,0
2209,Lavor Postell,201,102,"University of California, Los Angeles",22,369,46%,287,99,930,1
2210,Joel Przybilla,201,102,"University of California, Los Angeles",23,547,52%,327,172,1304,1
2211,Michael Redd,201,102,"University of California, Los Angeles",24,380,49%,169,136,878,1
2212,Quentin Richardson,201,102,"University of California, Los Angeles",25,422,48%,227,121,1015,1
2213,Pepe Sanchez,201,102,"University of California, Los Angeles",26,514,47%,342,183,1280,1
2214,Daniel Santiago,201,102,"University of California, Los Angeles",27,315,50%,240,107,800,1
2215,Jabari Smith,201,102,"University of California, Los Angeles",28,123,45%,89,45,312,0
2216,Mike Smith,201,102,"University of California, Los Angeles",29,151,44%,75,69,354,0
2217,Stromile Swift,196,79,University of North Carolina,23,48,43%,21,26,113,0
2218,David Vanterpool,196,79,University of North Carolina,24,806,45%,556,495,2048,1
2219,Jake Voskuhl,196,79,University of North Carolina,25,538,46%,315,271,1322,1
2220,Malik Allen,196,79,University of North Carolina,26,703,44%,351,311,1680,1
2221,Chris Andersen,196,79,University of North Carolina,27,588,45%,335,341,1443,1
2222,Gilbert Arenas,196,79,University of North Carolina,28,326,44%,173,196,781,1
2223,Brandon Armstrong,196,79,University of North Carolina,29,435,44%,260,378,1064,1
2224,Carlos Arroyo,196,79,University of North Carolina,29,210,43%,118,143,504,1
2225,Shane Battier,196,79,University of North Carolina,29,225,44%,142,235,560,1
2226,Charlie Bell,196,79,University of North Carolina,30,393,46%,215,428,947,1
2227,Ruben Boumtje-Boumtje,196,79,University of North Carolina,31,274,41%,118,250,639,1
2228,Michael Bradley,213,113,Kentucky State University,22,579,45%,363,111,1352,1
2229,Jamison Brewer,213,113,Kentucky State University,23,600,48%,337,192,1388,1
2230,Damone Brown,213,113,Kentucky State University,24,434,46%,249,150,1015,1
2231,Ernest Brown,213,113,Kentucky State University,25,346,49%,231,145,804,1
2232,Kedrick Brown,213,113,Kentucky State University,26,498,52%,351,97,1218,1
2233,Tierre Brown,213,113,Kentucky State University,27,241,48%,213,43,599,1
2234,Speedy Claxton,213,113,Kentucky State University,27,113,45%,105,30,287,0
2235,Jarron Collins,213,113,Kentucky State University,27,128,50%,108,13,312,0
2236,Jason Collins,213,113,Kentucky State University,28,402,50%,309,57,1009,1
2237,Joe Crispin,213,113,Kentucky State University,29,69,53%,26,13,156,0
2238,Samuel Dalembert,190,81,State University of New York College at Buffalo,23,432,48%,254,189,1022,1
2239,Maurice Evans,190,81,State University of New York College at Buffalo,24,511,44%,264,422,1214,1
2240,Isaac Fontaine,190,81,State University of New York College at Buffalo,25,531,49%,288,383,1267,1
